"age","group","sex","raw"
3.0129,3.5,1,61
3.3101,3.5,2,55
3.1854,3.5,2,69
3.3305,3.5,2,47
3.8521,3.5,2,59
3.05,3.5,1,9
3.9519,3.5,2,73
3.8384,3.5,2,68
3.9852,3.5,2,46
3.8439,3.5,1,79
3.9327,3.5,2,97
3.782,3.5,1,67
3.9986,3.5,1,86
3.8521,3.5,2,82
3.7875,3.5,1,84
3.9081,3.5,1,93
3.5446,3.5,2,47
3.0911,3.5,1,62
3.5933,3.5,2,79
3.3113,3.5,2,39
3.5446,3.5,2,47
3.1486,3.5,1,7
3.907,3.5,2,67
3.7919,3.5,1,103
3.0856,3.5,1,13
3.5687,3.5,2,90
3.9081,3.5,2,15
3.7408,3.5,2,114
3.782,3.5,1,67
3.5769,3.5,1,74
3.9081,3.5,1,93
3.5083,3.5,1,84
3.4552,3.5,1,71
3.8384,3.5,2,68
3.6484,3.5,2,31
3.5264,3.5,2,54
3.4251,3.5,2,48
3.3911,3.5,1,81
3.6796,3.5,1,44
3.05,3.5,1,9
3.8452,3.5,1,79
3.907,3.5,2,67
3.9973,3.5,2,66
3.8521,3.5,2,82
3.3512,3.5,1,69
3.8439,3.5,1,79
3.9852,3.5,2,46
3.6231,3.5,1,96
3.9136,3.5,1,52
3.4525,3.5,1,47
3.3743,3.5,2,72
3.8384,3.5,2,39
3.9327,3.5,2,97
3.9524,3.5,1,65
3.3196,3.5,2,63
3.8439,3.5,1,79
3.3977,3.5,1,83
3.9791,3.5,1,76
3.3305,3.5,2,47
3.826,3.5,1,74
3.3129,3.5,2,82
3.826,3.5,1,74
3.0403,3.5,1,72
3.514,3.5,1,79
3.4607,3.5,2,58
3.9125,3.5,2,68
3.1951,3.5,1,49
3.5769,3.5,1,74
3.3305,3.5,2,47
3.3129,3.5,2,82
3.3977,3.5,1,72
3.2636,3.5,1,43
3.6933,3.5,2,68
3.782,3.5,1,67
3.136,3.5,1,68
3.5811,3.5,1,8
3.5264,3.5,2,54
3.6231,3.5,1,96
3.6484,3.5,2,31
3.3743,3.5,2,72
3.4319,3.5,1,93
3.9645,3.5,2,94
3.0528,3.5,1,64
3.9986,3.5,1,86
3.4388,3.5,1,79
3.9081,3.5,1,93
3.0787,3.5,1,79
3.689,3.5,1,53
3.782,3.5,1,67
3.6231,3.5,1,96
3.907,3.5,2,67
3.9791,3.5,1,76
3.8017,3.5,2,76
3.5345,3.5,2,71
3.6221,3.5,1,53
3.2362,3.5,2,72
3.6933,3.5,2,68
3.8384,3.5,2,68
3.5264,3.5,2,54
3.3512,3.5,1,69
3.4251,3.5,2,48
3.6617,3.5,1,82
3.8165,3.5,1,86
3.3911,3.5,1,81
3.5164,3.5,2,75
3.3101,3.5,2,55
3.6933,3.5,2,68
3.9081,3.5,2,15
3.1459,3.5,1,78
3.5469,3.5,1,91
3.6231,3.5,1,96
3.9081,3.5,1,93
3.1771,3.5,2,57
3.8477,3.5,2,95
3.1951,3.5,1,49
3.5469,3.5,1,91
3.0528,3.5,1,64
3.9327,3.5,2,97
3.0528,3.5,1,64
3.9081,3.5,1,93
3.136,3.5,1,68
3.1486,3.5,1,7
3.1854,3.5,2,69
3.907,3.5,2,67
3.0787,3.5,1,79
3.5838,3.5,2,51
3.2691,3.5,1,60
3.05,3.5,1,9
3.907,3.5,2,67
3.1771,3.5,2,57
3.9081,3.5,2,15
3.8138,3.5,1,75
3.05,3.5,1,9
3.477,3.5,1,57
3.826,3.5,1,74
3.1459,3.5,1,78
3.9986,3.5,1,86
3.3266,3.5,1,59
3.1951,3.5,1,49
3.9327,3.5,2,97
3.0528,3.5,1,64
3.0403,3.5,1,72
3.6231,3.5,1,96
3.9055,3.5,2,74
3.7919,3.5,1,103
3.136,3.5,1,68
3.5446,3.5,2,47
3.5345,3.5,2,71
3.6617,3.5,1,82
3.6617,3.5,1,82
3.6194,3.5,1,59
3.0129,3.5,1,61
3.7875,3.5,1,84
3.9645,3.5,2,94
3.7919,3.5,1,103
3.1825,3.5,2,81
3.9344,3.5,1,33
3.477,3.5,1,57
3.5164,3.5,2,75
3.4319,3.5,1,93
3.136,3.5,1,68
3.3101,3.5,2,55
3.5576,3.5,2,69
3.1224,3.5,1,83
3.0911,3.5,1,62
3.3305,3.5,2,47
3.9973,3.5,2,66
3.2691,3.5,1,60
3.7408,3.5,2,114
3.7408,3.5,2,114
3.5164,3.5,2,75
3.6221,3.5,1,53
3.5769,3.5,1,74
3.6933,3.5,2,68
3.2636,3.5,1,43
3.1854,3.5,2,69
3.5345,3.5,2,71
3.0107,3.5,1,38
3.9069,3.5,1,85
3.3266,3.5,1,59
3.4525,3.5,1,47
3.228,3.5,1,29
3.3743,3.5,2,72
3.689,3.5,1,53
3.0528,3.5,1,64
3.228,3.5,1,29
3.9852,3.5,2,46
3.5083,3.5,1,84
3.3512,3.5,1,69
3.4279,3.5,1,56
3.0839,3.5,1,72
3.9973,3.5,2,66
3.907,3.5,2,55
3.0911,3.5,1,62
3.2362,3.5,2,72
3.9081,3.5,1,93
3.9453,3.5,2,62
3.5687,3.5,2,90
3.8357,3.5,2,73
3.9519,3.5,2,73
3.3266,3.5,1,59
3.5083,3.5,1,84
3.5345,3.5,2,71
3.3361,3.5,1,95
3.0839,3.5,1,72
3.3305,3.5,2,47
3.4607,3.5,2,58
3.9986,3.5,1,86
3.1951,3.5,1,49
3.5437,3.5,2,66
3.9327,3.5,2,97
3.9125,3.5,2,68
3.4525,3.5,1,47
3.9081,3.5,2,15
3.5264,3.5,2,54
3.0403,3.5,1,72
3.3977,3.5,1,83
3.5576,3.5,2,69
3.6617,3.5,1,82
3.1951,3.5,1,49
3.9136,3.5,1,52
3.8384,3.5,2,39
3.9136,3.5,1,52
3.7408,3.5,2,114
3.707,3.5,1,99
3.5164,3.5,2,75
3.0839,3.5,1,72
3.9524,3.5,1,65
3.9081,3.5,2,15
3.2785,3.5,1,54
3.1825,3.5,2,81
3.228,3.5,1,29
3.5345,3.5,2,71
3.3113,3.5,2,39
3.5264,3.5,2,54
3.9645,3.5,2,94
3.3113,3.5,2,39
3.8138,3.5,1,75
3.4319,3.5,1,93
3.2691,3.5,1,60
3.826,3.5,1,74
3.2444,3.5,1,29
3.9797,3.5,1,61
3.477,3.5,1,57
3.6484,3.5,2,31
3.8477,3.5,2,95
3.0403,3.5,1,72
3.9986,3.5,1,86
3.7098,3.5,2,60
3.9125,3.5,2,68
3.5083,3.5,1,84
3.907,3.5,2,55
3.9524,3.5,1,65
3.9081,3.5,1,93
3.4319,3.5,1,93
3.2362,3.5,2,72
3.9055,3.5,2,74
3.2484,3.5,2,41
3.645,3.5,2,68
3.05,3.5,1,9
3.0911,3.5,1,62
3.8477,3.5,2,95
3.3305,3.5,2,47
3.0403,3.5,1,72
3.8138,3.5,1,75
3.9986,3.5,1,86
3.73,3.5,1,80
3.136,3.5,1,68
3.2362,3.5,2,72
3.4279,3.5,1,56
3.05,3.5,1,9
3.8452,3.5,1,79
3.9069,3.5,1,85
3.8521,3.5,2,59
3.1224,3.5,1,83
3.5838,3.5,2,51
3.1459,3.5,1,78
3.5687,3.5,2,90
3.8616,3.5,1,77
3.9973,3.5,2,66
3.2691,3.5,1,60
3.3743,3.5,2,72
3.0839,3.5,1,72
3.3911,3.5,1,81
3.9524,3.5,1,65
3.3129,3.5,2,82
3.0787,3.5,1,79
3.3977,3.5,1,83
3.6796,3.5,1,44
3.3911,3.5,1,81
3.2827,3.5,2,39
3.3977,3.5,1,83
3.9453,3.5,2,62
3.9791,3.5,1,76
3.5838,3.5,2,51
3.5264,3.5,2,54
3.8477,3.5,2,95
3.05,3.5,1,9
3.1459,3.5,1,78
3.5345,3.5,2,71
3.9645,3.5,2,94
3.5933,3.5,2,79
3.7875,3.5,1,84
3.5811,3.5,1,8
3.2444,3.5,1,29
3.689,3.5,1,53
3.4319,3.5,1,93
3.3266,3.5,1,59
3.3113,3.5,2,39
3.1486,3.5,1,7
3.5576,3.5,2,69
3.3196,3.5,2,63
3.2636,3.5,1,43
3.907,3.5,2,67
3.2362,3.5,2,72
3.4525,3.5,1,47
3.7399,3.5,1,71
3.6617,3.5,1,82
3.1771,3.5,2,57
3.3113,3.5,2,39
3.5769,3.5,1,74
3.4552,3.5,1,71
3.1459,3.5,1,78
3.645,3.5,2,68
3.6933,3.5,2,68
3.05,3.5,1,9
3.6484,3.5,2,31
3.05,3.5,1,9
3.9791,3.5,1,76
3.2484,3.5,2,41
3.228,3.5,1,29
3.3743,3.5,2,72
3.6617,3.5,1,82
3.5437,3.5,2,66
3.3361,3.5,1,95
3.4525,3.5,1,47
3.9055,3.5,2,74
3.8452,3.5,1,79
3.0403,3.5,1,72
3.7098,3.5,2,60
3.9524,3.5,1,65
3.9055,3.5,2,74
3.5729,3.5,2,86
3.8452,3.5,1,79
3.4251,3.5,2,48
3.0129,3.5,1,61
3.9081,3.5,2,15
3.3977,3.5,1,83
3.1771,3.5,2,57
3.8452,3.5,1,79
3.0856,3.5,1,13
3.4279,3.5,1,56
3.8017,3.5,2,76
3.3101,3.5,2,55
3.0856,3.5,1,13
3.514,3.5,1,79
3.347,3.5,2,53
3.4388,3.5,1,79
3.5933,3.5,2,79
3.8384,3.5,2,68
3.9069,3.5,1,85
3.5164,3.5,2,75
3.6933,3.5,2,68
3.73,3.5,1,80
3.907,3.5,2,55
3.9973,3.5,2,66
3.4251,3.5,2,48
3.6617,3.5,1,82
3.6194,3.5,1,59
3.4388,3.5,1,79
3.8384,3.5,2,68
3.6221,3.5,1,53
3.5469,3.5,1,91
3.3266,3.5,1,59
3.9327,3.5,2,97
3.5437,3.5,2,66
3.514,3.5,1,79
3.6484,3.5,2,31
3.8357,3.5,2,73
3.5437,3.5,2,66
3.3305,3.5,2,47
3.3113,3.5,2,39
3.9081,3.5,2,15
3.0787,3.5,1,79
3.1459,3.5,1,78
3.707,3.5,1,99
3.5769,3.5,1,74
3.0856,3.5,1,13
3.2444,3.5,1,29
3.3305,3.5,2,47
3.3266,3.5,1,59
3.8439,3.5,1,79
3.7875,3.5,1,84
3.3196,3.5,2,63
3.347,3.5,2,53
3.8521,3.5,2,59
3.5437,3.5,2,66
3.3977,3.5,1,72
3.6221,3.5,1,53
3.3266,3.5,1,59
4.1041,4.5,2,62
4.4588,4.5,1,121
4.2611,4.5,2,90
4.3451,4.5,2,84
4.9199,4.5,2,88
4.6489,4.5,1,77
4.3873,4.5,1,81
4.9336,4.5,2,99
4.9265,4.5,2,79
4.9199,4.5,2,88
4.3067,4.5,1,89
4.0807,4.5,2,100
4.3816,4.5,2,88
4.5065,4.5,2,117
4.3024,4.5,1,58
4.3052,4.5,1,84
4.7902,4.5,1,117
4.1604,4.5,1,92
4.1766,4.5,1,19
4.4038,4.5,1,60
4.2657,4.5,2,101
4.605,4.5,1,127
4.6187,4.5,2,113
4.037,4.5,2,80
4.0439,4.5,2,109
4.5404,4.5,2,126
4.3437,4.5,2,125
4.5301,4.5,1,112
4.9693,4.5,2,82
4.9474,4.5,1,49
4.5243,4.5,2,88
4.1604,4.5,1,92
4.3052,4.5,1,84
4.4491,4.5,1,40
4.1849,4.5,2,118
4.3012,4.5,2,74
4.4491,4.5,1,40
4.5612,4.5,1,92
4.4668,4.5,2,106
4.1507,4.5,2,83
4.1123,4.5,1,83
4.1962,4.5,1,47
4.1397,4.5,1,119
4.3451,4.5,2,72
4.3873,4.5,1,81
4.0807,4.5,2,100
4.605,4.5,1,127
4.605,4.5,1,127
4.9487,4.5,2,77
4.9374,4.5,2,94
4.6172,4.5,2,76
4.6489,4.5,1,77
4.5624,4.5,1,75
4.0585,4.5,2,83
4.1852,4.5,2,73
4.4984,4.5,2,95
4.3012,4.5,2,74
4.7979,4.5,2,81
4.8225,4.5,1,57
4.0177,4.5,2,76
4.5185,4.5,1,77
4.4474,4.5,1,129
4.3024,4.5,1,58
4.5324,4.5,2,84
4.0275,4.5,1,16
4.5301,4.5,1,112
4.5185,4.5,1,77
4.6009,4.5,2,127
4.0011,4.5,2,103
4.2202,4.5,1,113
4.6762,4.5,1,73
4.2503,4.5,1,127
4.1414,4.5,2,107
4.2476,4.5,1,111
4.9487,4.5,2,77
4.3341,4.5,1,71
4.1791,4.5,1,70
4.6762,4.5,1,73
4.553,4.5,2,110
4.7211,4.5,1,107
4.251,4.5,1,125
4.5849,4.5,2,83
4.4984,4.5,2,106
4.5284,4.5,2,95
4.1397,4.5,1,119
4.628,4.5,2,70
4.3067,4.5,1,89
4.6215,4.5,1,43
4.564,4.5,2,78
4.9228,4.5,2,74
4.189,4.5,2,71
4.0341,4.5,2,85
4.9929,4.5,2,105
4.9595,4.5,1,91
4.9325,4.5,1,105
4.0341,4.5,2,85
4.3707,4.5,2,129
4.5053,4.5,2,61
4.7902,4.5,1,117
4.6215,4.5,1,43
4.7376,4.5,1,74
4.4474,4.5,1,129
4.3012,4.5,2,74
4.501,4.5,2,64
4.2503,4.5,1,127
4.2724,4.5,1,129
4.1849,4.5,2,118
4.3012,4.5,2,74
4.6762,4.5,1,73
4.3478,4.5,1,50
4.9199,4.5,2,88
4.4338,4.5,2,79
4.5628,4.5,2,105
4.9228,4.5,2,74
4.3478,4.5,1,50
4.9447,4.5,2,67
4.3451,4.5,2,72
4.1436,4.5,1,75
4.5404,4.5,2,126
4.6215,4.5,1,43
4.5695,4.5,2,101
4.1397,4.5,1,119
4.8389,4.5,2,108
4.1397,4.5,1,119
4.1852,4.5,2,73
4.9595,4.5,1,91
4.5243,4.5,2,88
4.4474,4.5,1,129
4.1218,4.5,1,93
4.9336,4.5,2,99
4.9623,4.5,2,149
4.4668,4.5,2,106
4.0807,4.5,2,100
4.9325,4.5,1,105
4.783,4.5,2,70
4.9336,4.5,2,99
4.783,4.5,2,70
4.501,4.5,2,64
4.5628,4.5,2,105
4.1917,4.5,1,51
4.9325,4.5,1,105
4.6489,4.5,1,77
4.3024,4.5,1,58
4.628,4.5,2,70
4.1604,4.5,1,92
4.7979,4.5,2,81
4.5301,4.5,1,112
4.7902,4.5,1,117
4.0643,4.5,2,91
4.9595,4.5,1,91
4.3478,4.5,1,51
4.4038,4.5,1,60
4.628,4.5,2,70
4.784,4.5,2,77
4.9325,4.5,1,105
4.3012,4.5,2,74
4.3024,4.5,1,58
4.4338,4.5,2,79
4.0011,4.5,2,103
4.5284,4.5,2,95
4.037,4.5,2,80
4.9693,4.5,2,82
4.0511,4.5,1,94
4.6954,4.5,2,74
4.7211,4.5,1,107
4.4995,4.5,2,118
4.2355,4.5,2,76
4.1041,4.5,2,62
4.1436,4.5,1,75
4.7902,4.5,1,117
4.5324,4.5,2,84
4.0439,4.5,2,109
4.5301,4.5,1,112
4.6105,4.5,1,49
4.6009,4.5,2,127
4.9693,4.5,2,82
4.553,4.5,2,110
4.6105,4.5,1,49
4.5324,4.5,2,84
4.2723,4.5,2,133
4.5243,4.5,2,88
4.872,4.5,1,98
4.8389,4.5,2,108
4.2858,4.5,2,87
4.1808,4.5,2,90
4.9228,4.5,2,74
4.0643,4.5,2,75
4.9447,4.5,2,67
4.9349,4.5,1,121
4.8131,4.5,2,74
4.3451,4.5,2,72
4.7979,4.5,2,81
4.5301,4.5,1,112
4.251,4.5,1,125
4.0275,4.5,1,16
4.0643,4.5,2,75
4.6067,4.5,1,115
4.1954,4.5,2,122
4.5185,4.5,1,77
4.1999,4.5,2,64
4.9595,4.5,1,91
4.3478,4.5,1,51
4.1604,4.5,1,92
4.5301,4.5,1,112
4.6172,4.5,2,76
4.9447,4.5,2,67
4.9595,4.5,1,91
4.3451,4.5,2,72
4.4668,4.5,2,106
4.1041,4.5,2,62
4.2723,4.5,2,133
4.553,4.5,2,110
4.4837,4.5,2,86
4.605,4.5,1,127
4.5243,4.5,2,88
4.6172,4.5,2,76
4.1218,4.5,1,93
4.9788,4.5,2,127
4.5434,4.5,1,37
4.0511,4.5,1,94
4.2985,4.5,2,74
4.1791,4.5,1,70
4.1792,4.5,1,80
4.861,4.5,1,110
4.5849,4.5,2,83
4.3052,4.5,1,84
4.3943,4.5,2,50
4.1397,4.5,1,119
4.0177,4.5,2,76
4.2355,4.5,2,76
4.861,4.5,1,110
4.1436,4.5,1,75
4.1604,4.5,1,92
4.2967,4.5,1,97
4.1604,4.5,1,92
4.1849,4.5,2,118
4.408,4.5,2,56
4.9374,4.5,2,94
4.8225,4.5,1,57
4.3861,4.5,1,74
4.4984,4.5,2,95
4.9228,4.5,2,74
4.3409,4.5,2,84
4.9867,4.5,1,85
4.783,4.5,2,70
4.0341,4.5,2,85
4.9929,4.5,2,105
4.3052,4.5,1,84
4.1792,4.5,1,80
4.0807,4.5,2,100
4.9648,4.5,1,101
4.7376,4.5,1,74
4.7376,4.5,1,74
4.1808,4.5,2,90
4.9486,4.5,1,125
4.9595,4.5,1,91
4.7046,4.5,1,86
4.4491,4.5,1,40
4.501,4.5,2,64
4.9788,4.5,2,127
4.4668,4.5,2,106
4.2657,4.5,2,101
4.9748,4.5,1,75
4.4491,4.5,1,40
4.5185,4.5,1,77
4.6939,4.5,2,160
4.2723,4.5,2,133
4.251,4.5,1,125
4.178,4.5,1,108
4.9336,4.5,2,99
4.4995,4.5,2,118
4.9325,4.5,1,105
4.0177,4.5,2,76
4.9199,4.5,2,88
4.1288,4.5,2,113
4.5324,4.5,2,84
4.1397,4.5,1,119
4.1123,4.5,1,83
4.553,4.5,2,110
4.1917,4.5,1,51
4.1123,4.5,1,83
4.1123,4.5,1,83
4.9623,4.5,2,149
4.9474,4.5,1,49
4.3816,4.5,2,88
4.212,4.5,2,85
4.4837,4.5,2,86
4.5185,4.5,1,74
4.7902,4.5,1,117
4.605,4.5,1,127
4.6187,4.5,2,113
4.4491,4.5,1,40
4.9487,4.5,2,77
4.9595,4.5,1,91
4.5434,4.5,1,37
4.6187,4.5,2,113
4.4995,4.5,2,118
4.178,4.5,1,108
4.0011,4.5,2,103
4.1604,4.5,1,92
4.3478,4.5,1,51
4.6215,4.5,1,43
4.9265,4.5,2,79
4.1436,4.5,1,75
4.4666,4.5,1,123
4.9089,4.5,1,63
4.4474,4.5,1,129
4.1962,4.5,1,47
4.0643,4.5,2,75
4.5065,4.5,2,117
4.5628,4.5,2,105
4.5695,4.5,2,101
4.3478,4.5,1,51
4.9648,4.5,1,101
4.0011,4.5,2,103
4.2611,4.5,2,90
4.2657,4.5,2,101
4.1041,4.5,2,62
4.5434,4.5,1,37
4.9803,4.5,2,87
4.0511,4.5,1,94
4.8389,4.5,2,108
4.2723,4.5,2,133
4.3012,4.5,2,74
4.9595,4.5,1,91
4.2355,4.5,2,76
4.1507,4.5,2,83
4.9374,4.5,2,94
4.9803,4.5,1,80
4.6939,4.5,2,160
4.0177,4.5,2,76
4.1414,4.5,2,107
4.7902,4.5,1,117
4.2858,4.5,2,87
4.408,4.5,2,56
4.9803,4.5,1,80
4.8389,4.5,2,108
4.1852,4.5,2,73
4.0511,4.5,1,94
4.2858,4.5,2,87
4.2202,4.5,1,113
4.037,4.5,2,80
4.5849,4.5,2,83
4.7902,4.5,1,117
4.5185,4.5,1,77
4.0011,4.5,2,103
4.0585,4.5,2,83
4.8225,4.5,1,57
4.9391,4.5,1,126
4.4038,4.5,1,60
4.5284,4.5,2,95
4.9803,4.5,2,87
4.9474,4.5,1,49
4.1507,4.5,2,83
4.1999,4.5,2,64
4.2967,4.5,1,97
4.2967,4.5,1,97
4.3451,4.5,2,72
4.2503,4.5,1,127
4.4837,4.5,2,86
4.4338,4.5,2,79
4.3873,4.5,1,81
4.1791,4.5,1,70
4.784,4.5,2,77
4.8131,4.5,2,74
4.861,4.5,1,110
4.8131,4.5,2,74
4.0511,4.5,1,94
4.1288,4.5,2,113
4.7211,4.5,1,107
4.0275,4.5,1,16
4.783,4.5,2,70
4.9336,4.5,2,99
4.1218,4.5,1,93
4.9803,4.5,1,80
4.9788,4.5,2,127
4.9867,4.5,1,85
4.2476,4.5,1,111
4.2723,4.5,2,133
4.4995,4.5,2,118
4.6461,4.5,1,72
4.3052,4.5,1,84
4.9487,4.5,2,77
4.9803,4.5,2,87
4.4038,4.5,1,60
4.2724,4.5,1,129
4.5284,4.5,2,95
4.0511,4.5,1,94
4.178,4.5,1,108
4.1808,4.5,2,90
4.9595,4.5,1,91
4.5301,4.5,1,112
4.4474,4.5,1,129
4.3052,4.5,1,84
4.8225,4.5,1,57
4.1414,4.5,2,107
4.0807,4.5,2,100
4.4038,4.5,1,60
4.9474,4.5,1,49
4.3478,4.5,1,51
5.7095,5.5,1,139
5.915,5.5,2,125
5.5589,5.5,2,82
5.2112,5.5,1,119
5.1911,5.5,2,89
5.4566,5.5,1,99
5.6865,5.5,2,90
5.5661,5.5,2,88
5.8262,5.5,1,92
5.8905,5.5,2,139
5.6865,5.5,2,101
5.7699,5.5,2,142
5.6054,5.5,1,109
5.132,5.5,2,108
5.9942,5.5,1,115
5.6619,5.5,2,129
5.0651,5.5,2,66
5.9557,5.5,1,93
5.3618,5.5,1,140
5.4112,5.5,2,110
5.132,5.5,2,108
5.1363,5.5,1,77
5.1363,5.5,1,77
5.6619,5.5,2,129
5.184,5.5,2,93
5.7094,5.5,2,145
5.9786,5.5,2,113
5.7128,5.5,2,134
5.0241,5.5,2,116
5.3347,5.5,1,118
5.7315,5.5,1,125
5.1538,5.5,2,119
5.4265,5.5,2,118
5.2196,5.5,2,127
5.7945,5.5,2,91
5.7029,5.5,1,130
5.8765,5.5,1,127
5.8152,5.5,1,120
5.5386,5.5,1,133
5.6054,5.5,1,109
5.3619,5.5,1,134
5.718,5.5,1,152
5.8765,5.5,1,127
5.7094,5.5,2,145
5.4686,5.5,2,109
5.0529,5.5,1,92
5.2964,5.5,2,142
5.6865,5.5,2,90
5.8765,5.5,1,127
5.0723,5.5,2,100
5.9998,5.5,1,80
5.4238,5.5,2,107
5.258,5.5,2,63
5.1675,5.5,2,139
5.9942,5.5,1,115
5.2358,5.5,2,88
5.0723,5.5,2,100
5.5096,5.5,2,119
5.495,5.5,1,104
5.2112,5.5,1,119
5.0282,5.5,1,118
5.8463,5.5,1,102
5.4402,5.5,2,130
5.8408,5.5,2,138
5.6084,5.5,2,97
5.4265,5.5,2,118
5.9998,5.5,1,80
5.3919,5.5,2,134
5.9587,5.5,1,134
5.3044,5.5,1,115
5.3044,5.5,1,115
5.8152,5.5,1,120
5.8463,5.5,1,102
5.5797,5.5,2,87
5.8946,5.5,1,90
5.7343,5.5,2,132
5.7011,5.5,2,95
5.3866,5.5,2,104
5.4976,5.5,2,118
5.7943,5.5,1,128
5.9341,5.5,1,123
5.7259,5.5,1,119
5.9659,5.5,1,110
5.6619,5.5,2,129
5.8408,5.5,2,138
5.9577,5.5,2,131
5.6683,5.5,1,145
5.718,5.5,1,152
5.7699,5.5,2,142
5.7699,5.5,2,142
5.258,5.5,2,63
5.7343,5.5,2,132
5.4457,5.5,1,121
5.2358,5.5,2,88
5.5123,5.5,1,156
5.1103,5.5,2,102
5.2307,5.5,2,87
5.7699,5.5,2,142
5.184,5.5,2,93
5.9275,5.5,1,80
5.718,5.5,1,152
5.8986,5.5,2,89
5.5386,5.5,1,133
5.0282,5.5,1,118
5.7011,5.5,2,95
5.9942,5.5,1,115
5.7943,5.5,1,128
5.8408,5.5,2,138
5.4457,5.5,1,121
5.87,5.5,2,133
5.5616,5.5,1,139
5.5797,5.5,2,87
5.132,5.5,2,108
5.1103,5.5,2,102
5.5701,5.5,1,120
5.8111,5.5,1,152
5.4457,5.5,1,121
5.447,5.5,2,123
5.6683,5.5,1,145
5.9451,5.5,2,128
5.5701,5.5,1,120
5.718,5.5,1,152
5.9072,5.5,1,117
5.0888,5.5,2,86
5.8262,5.5,1,92
5.9942,5.5,1,115
5.132,5.5,2,108
5.2964,5.5,2,142
5.9341,5.5,1,123
5.242,5.5,1,137
5.4526,5.5,2,88
5.5589,5.5,2,82
5.863,5.5,2,83
5.611,5.5,1,122
5.8946,5.5,1,90
5.1336,5.5,1,115
5.5332,5.5,1,141
5.2196,5.5,2,127
5.0888,5.5,2,86
5.8262,5.5,1,92
5.9275,5.5,1,80
5.2577,5.5,1,82
5.242,5.5,1,137
5.4526,5.5,2,88
5.213,5.5,1,94
5.2498,5.5,1,124
5.87,5.5,2,133
5.5725,5.5,1,121
5.495,5.5,1,104
5.1185,5.5,1,132
5.9659,5.5,1,110
5.7699,5.5,2,142
5.7011,5.5,2,95
5.5096,5.5,2,119
5.1784,5.5,1,89
5.5551,5.5,1,112
5.2662,5.5,1,127
5.8111,5.5,1,152
5.5123,5.5,1,156
5.8481,5.5,1,92
5.1784,5.5,1,89
5.7945,5.5,2,91
5.1784,5.5,1,89
5.447,5.5,2,123
5.7029,5.5,1,130
5.8219,5.5,1,135
5.2964,5.5,2,142
5.7289,5.5,1,139
5.3618,5.5,1,140
5.8463,5.5,1,102
5.8463,5.5,1,102
5.8125,5.5,1,88
5.6619,5.5,2,129
5.1784,5.5,1,89
5.5332,5.5,1,141
5.2498,5.5,1,124
5.5725,5.5,1,121
5.8655,5.5,2,101
5.9072,5.5,1,117
5.8001,5.5,1,125
5.8111,5.5,1,152
5.1784,5.5,1,89
5.9696,5.5,2,84
5.9949,5.5,1,89
5.8262,5.5,1,92
5.9275,5.5,1,80
5.1185,5.5,1,132
5.3618,5.5,1,140
5.9998,5.5,1,80
5.3866,5.5,2,104
5.2498,5.5,1,124
5.1812,5.5,1,83
5.7094,5.5,2,145
5.7029,5.5,1,130
5.7289,5.5,1,139
5.8463,5.5,1,102
5.1185,5.5,1,132
5.5797,5.5,2,87
5.6683,5.5,1,145
5.8481,5.5,1,92
5.2577,5.5,1,82
5.7779,5.5,1,74
5.8219,5.5,1,135
5.7779,5.5,1,74
5.2634,5.5,2,134
5.242,5.5,1,137
5.4825,5.5,2,119
5.8682,5.5,2,123
5.7699,5.5,1,129
5.3866,5.5,2,104
5.6521,5.5,2,114
5.934,5.5,2,93
5.2139,5.5,2,117
5.1363,5.5,1,77
5.1812,5.5,1,83
5.102,5.5,2,78
5.3235,5.5,1,125
5.2112,5.5,1,119
5.7535,5.5,1,113
5.1348,5.5,2,137
5.8655,5.5,2,101
5.9341,5.5,1,123
5.7094,5.5,2,145
